file;seed
2006SoccerPlayer2club.csv;674296301
20122013NameNumber2Club.txt;-403592089
2013CountryLocation2UnescoSite.txt;585289198
2013UnescoSite2Country.csv;-1438781595
2013UnescoSite2Location.csv;-993126886
airport_codes_internalGT2.csv;
AirportcodeToCity.csv;
airportToCountry.csv;1108870764
Album2Genre.csv;-1006032855
Album2GenreQ.csv;
AnimalToGenusSpecies.csv;-179689123
AnimalToGenusSpeciesCommonNames.csv;-2072282670
AnimalToGenusSpeciesCommonNames_cleaned.csv;-808543886
ArenaTocurrentSoccerClubs.txt;143779250
ArtistToStudioAlbum.txt;1838642836
AsciiToUnicode.csv;-1467884542
AthleteDateToEvent.csv;618840860
AthleteDateToEventCleaned.csv;-160520435
AthleteDateToMeetingName.csv;-2141462512
AthleteDateToMeetingNameCleaned.csv;-1990352628
AthleteDateToMeetingPlace.csv;269221613
AthleteDateToMeetingPlaceCleaned.csv;-1264958796
AthletesHoldingWorldRecordsPerCountry.csv;
Author2Novels.csv;
AuthorYear2Novel.csv;-949358825
AwardToArtist.csv;
bankCityBranchToSwiftCode11.csv;976175741
BankToCity.csv;-801362379
bankToCountryDistinct.csv;-734262849
BankToSwiftCode.csv;-1348759626
bankToSwiftCode8.csv;-2037920222
CharToAscii.csv;-1312420163
City2LongLat.csv;-2129790766
City2TallBuildings.csv;-1609953141
City2TallBuildings_up to 2013.csv;-792103500
CityToCountry.csv;-1311631171
CityToZIp.csv;-1520708547
CompanyToBloombergID.csv;683428544
CompanyToCeo.csv;-192757318
CompanyToIndustry.csv;451532353
CompanyToTicker.csv;1560478718
Continent2Countries.csv;
CountriesToContinents.csv;94864112
Country2HeadState_upTo2012.csv;
Country2Mountains7k.txt;2019034048
Country2UnescoSites.txt;-1704800364
CountryCodeToCountry.csv;
CountryHeadOfState.csv;-284600003
CountryToAreaSqKM.csv;169078426
CountryToCapital.csv;
CountryToCitizen.csv;
CountryToCountryCode.csv;-767516393
CountryToCurrencies.csv;
CountryToLanguage.csv;
CountryToThreeLettersISOCode.csv;-147510929
CountryToTwoLettersISOCode.csv;-1430721583
Countryy2TallBuildings_upto2013.csv;
CountryYear2HeadState_upTo2012.txt;
CountryYearGDPList.csv;-1418761939
CUSIPToCompanyName.csv;2106895118
CUSIPToTicker.csv;-1591073268
Developer2Games_UpTo2013.csv;
DomainToPrimaryIP.csv;-1854366795
Driver2Champioships.csv;-46178790
element2BP.csv;1596146573
element2symbol.csv;1568346060
ElementToBP.csv;-1436038386
ElementToSymbol.csv;-1451303539
EnglishToGerman.csv;-364698185
fahrenheitToCelcius.csv;
FastFoodRestaurants.csv;-914183822
FractionsToDecimals.txt;
GameYear2Developer_UpTo2013.csv;-2020531586
GregorianToHijri.csv;
HeadstateCountry.csv;-1409799231
HeadstateCountry2Year_upTo2012.csv;1833049762
HeadstateYear2Country_upTo2012 copy.csv;-1853272091
HexCodeToRGB.csv;-782425655
IBANToBankName.csv;-532971689
IPToCountry.csv;-69037573
IPToDomain.csv;-855880250
ISBNToAuthor.csv;-1374419518
ISBNToPublisher.csv;1290107736
ISBNToTitle.csv;65846393
ISSNToTitle.csv;1282038194
Lake2Countries.csv;-1344248450
languages.csv;
LaureateYearToCategory.csv;76632319
ManufacturerToProducts.csv;640116419
MilesToKm.csv;
militaryGDP2country.txt;-1710350338
Mountain7k2Countries.txt;1123478190
MountainsOver7k2feet.csv;-115685185
MountainsOver7k2meters.csv;-218611929
MountainsOver7k2Range.csv;221384234
Movie2Cast.txt;
Movie2year.txt;-802303844
MovieActorYear2Role.txt;217178883
NBAClub2Roster.txt;
NovelYear2Author.csv;290797951
OpenYear2Winner_upTo2013.csv;
PapertitleToauthors_FullName_List.csv;-874284496
PatentIDToName.csv;-1223611997
Person2Spouses.txt;-1275170728
player2ope.txt;
PoundsToKg.csv;
prettycleaned_airport_codes_internalGT2.csv;-1619806674
prettycleaned_countryCodes.csv;1036150085
prettycleaned_currencies.csv;1252745414
prettycleaned_denonyms.csv;1983202379
prettycleaned_iban.csv;
prettycleaned_languages.csv;
prettycleaned_laureates.csv;-2046803205
prettycleaned_tickers.csv;-537215871
prettycleaned_zips.csv;1230025782
product2Company.txt;2145300772
RegionToAreaCode_Single.csv;1242554053
RGBToColor.csv;-1786987704
River2Countries.csv;252653192
River2Countries2.csv;418154172
selectedSoccerPlayer2club.csv;-411878762
SentenceToLanguage.csv;-612054225
shoesizeUSEUR.txt;1156473888
sigmodyeartolocation.txt;1913176554
SoccerPlayer2Birthdate.csv;-1305235338
SoccerPlayer2Birthplace.csv;-715894602
SoccerPlayer2club.csv;1006240970
SoccerPlayer2Height.csv;-717197035
