"Name","Year","Category","Also Known As",""
"Julius Wagner-Jauregg","1927","medicine","null","null"
"Ludwig Quidde","1927","peace","null","null"
"Adolf Otto Reinhold Windaus","1928","chemistry","null","null"
"Charles Jules Henri Nicolle","1928","medicine","null","null"
"Owen Willans Richardson","1928","physics","null","null"
"Sigrid Undset","1928","literature","null","null"
"Arthur Harden","1929","chemistry","null","null"
"Christiaan Eijkman","1929","medicine","null","null"
"Frank Billings Kellogg","1929","peace","null","null"
"Sir Frederick Gowland Hopkins","1929","medicine","null","null"
"Hans von Euler-Chelpin","1929","chemistry","(Karl, August, Simon)","null"
"Louis de Broglie","1929","physics","null","null"
"Thomas Mann","1929","literature","null","null"
"Hans Fischer","1930","chemistry","null","null"
"Karl Landsteiner","1930","medicine","null","null"
"Nathan Söderblom","1930","peace","(Jonathan, Lars, Olof)","null"
"Sinclair Lewis","1930","literature","(Harry)","null"
"Venkata Raman","1930","physics","null","null"
"Carl Bosch","1931","chemistry","null","null"
"Erik Axel Karlfeldt","1931","literature","null","null"
"Friedrich Bergius","1931","chemistry","null","null"
"Jane Addams","1931","peace","null","null"
"Nicholas Murray Butler","1931","peace","null","null"
"Otto Heinrich Warburg","1931","medicine","null","null"
"Sir Charles Scott Sherrington","1932","medicine","null","null"
"Edgar Douglas Adrian","1932","medicine","null","null"
"Irving Langmuir","1932","chemistry","null","null"
"John Galsworthy","1932","literature","null","null"
"Werner Heisenberg","1932","physics","null","null"
"Erwin Schrödinger","1933","physics","null","null"
"Ivan Bunin","1933","literature","null","null"
"Sir Norman Angell","1933","peace","(Ralph)","null"
"Paul Dirac","1933","physics","null","null"
"Thomas Hunt Morgan","1933","medicine","null","null"
"Arthur Henderson","1934","peace","null","null"
"George Richards Minot","1934","medicine","null","null"
"George Hoyt Whipple","1934","medicine","null","null"
"Harold Clayton Urey","1934","chemistry","null","null"
"Luigi Pirandello","1934","literature","null","null"
"William Parry Murphy","1934","medicine","null","null"
"Carl von Ossietzky","1935","peace","null","null"
"Frédéric Joliot","1935","chemistry","null","null"
"Hans Spemann","1935","medicine","null","null"
"Irène Joliot-Curie","1935","chemistry","null","null"
"James Chadwick","1935","physics","null","null"
"Carl D. Anderson","1936","physics","null","null"
"Carlos Saavedra Lamas","1936","peace","null","null"
"Eugene O'Neill","1936","literature","null","null"
"Sir Henry Hallett Dale","1936","medicine","null","null"
"Otto Loewi","1936","medicine","null","null"
"Petrus Josephus Wilhelmus Debye","1936","chemistry","(Peter)","null"
"Victor F. Hess","1936","physics","null","null"
"Szent-Györgyi Albert","1937","medicine","null","null"
"Clinton Davisson","1937","physics","null","null"
"George Paget Thomson","1937","physics","null","null"
"Paul Karrer","1937","chemistry","null","null"
"Lord Robert Cecil","1937","peace","(Edgar, Algernon)","null"
"Roger Martin du Gard","1937","literature","null","null"
"Walter Norman Haworth","1937","chemistry","null","null"
"Corneille Jean François Heymans","1938","medicine","null","null"
"Enrico Fermi","1938","physics","null","null"
"Pearl Buck","1938","literature","null","null"
"Richard Kuhn","1938","chemistry","null","null"
"Adolf Friedrich Johann Butenandt","1939","chemistry","null","null"
"Ernest Lawrence","1939","physics","null","null"
"Frans Eemil Sillanpää","1939","literature","null","null"
"Gerhard Domagk","1939","medicine","null","null"
"Leopold Ruzicka","1939","chemistry","null","null"
"Edward Adelbert Doisy","1943","medicine","null","null"
"Hevesy György","1943","chemistry","(George, Charles)","null"
"Henrik Carl Peter Dam","1943","medicine","null","null"
"Otto Stern","1943","physics","null","null"
"Herbert Spencer Gasser","1944","medicine","null","null"
"Isidor Isaac Rabi","1944","physics","null","null"
"Johannes V. Jensen","1944","literature","null","null"
"Joseph Erlanger","1944","medicine","null","null"
"Otto Hahn","1944","chemistry","null","null"
"Sir Alexander Fleming","1945","medicine","null","null"
"Artturi Ilmari Virtanen","1945","chemistry","null","null"
"Cordell Hull","1945","peace","null","null"
"Ernst Boris Chain","1945","medicine","null","null"
"Gabriela Mistral","1945","literature","null","null"
"Sir Howard Walter Florey","1945","medicine","null","null"
"Wolfgang Pauli","1945","physics","null","null"
"Emily Greene Balch","1946","peace","null","null"
"Hermann Hesse","1946","literature","null","null"
"Hermann Joseph Muller","1946","medicine","null","null"
"James Batcheller Sumner","1946","chemistry","null","null"
"John Raleigh Mott","1946","peace","null","null"
"John Howard Northrop","1946","chemistry","null","null"
"Percy W. Bridgman","1946","physics","null","null"
"Wendell Meredith Stanley","1946","chemistry","null","null"
"André Gide","1947","literature","null","null"
"Bernardo Alberto Houssay","1947","medicine","null","null"
"Carl Ferdinand Cori","1947","medicine","null","null"
"Edward V. Appleton","1947","physics","null","null"
"Gerty Theresa Cori","1947","medicine","null","null"
"Sir Robert Robinson","1947","chemistry","null","null"
"Arne Wilhelm Kaurin Tiselius","1948","chemistry","null","null"
"Patrick M. S. Blackett","1948","physics","null","null"
"Paul Hermann Müller","1948","medicine","null","null"
"T. S. Eliot","1948","literature","(Thomas, Stearns)","null"
"Antonio Caetano de Abreu Freire Egas Moniz","1949","medicine","null","null"
"Yukawa Hideki","1949","physics","null","null"
"Lord John Boyd Orr of Brechin","1949","peace","null","null"
"Walter Rudolf Hess","1949","medicine","null","null"
"William Faulkner","1949","literature","(Cuthbert)","null"
"William Francis Giauque","1949","chemistry","null","null"
"Bertrand Russell","1950","literature","null","null"
"Cecil Powell","1950","physics","null","null"
"Edward Calvin Kendall","1950","medicine","null","null"
"Kurt Alder","1950","chemistry","null","null"
"Otto Paul Hermann Diels","1950","chemistry","null","null"
"Philip Showalter Hench","1950","medicine","null","null"
"Ralph Bunche","1950","peace","null","null"
"Tadeus Reichstein","1950","medicine","null","null"
"Edwin Mattison McMillan","1951","chemistry","null","null"
"Ernest T. S. Walton","1951","physics","null","null"
"Glenn Theodore Seaborg","1951","chemistry","null","null"
"John Cockcroft","1951","physics","null","null"
"Léon Jouhaux","1951","peace","null","null"
"Max Theiler","1951","medicine","null","null"
"Pär Lagerkvist","1951","literature","null","null"
"Albert Schweitzer","1952","peace","null","null"
"Archer John Porter Martin","1952","chemistry","null","null"
"Edward M. Purcell","1952","physics","null","null"
"Felix Bloch","1952","physics","null","null"
"François Mauriac","1952","literature","null","null"
"Richard Laurence Millington Synge","1952","chemistry","null","null"
"Selman Abraham Waksman","1952","medicine","null","null"
"Frits Zernike","1953","physics","null","null"
"Fritz Albert Lipmann","1953","medicine","null","null"
"George Catlett Marshall","1953","peace","null","null"
"Hans Adolf Krebs","1953","medicine","null","null"
"Hermann Staudinger","1953","chemistry","null","null"
"Sir Winston Churchill","1953","literature","null","null"
"Ernest Hemingway","1954","literature","(Miller)","null"
"Frederick Chapman Robbins","1954","medicine","null","null"
"John Franklin Enders","1954","medicine","null","null"
"Linus Pauling","1954","chemistry","null","null"
"Max Born","1954","physics","null","null"
"Thomas Huckle Weller","1954","medicine","null","null"
"Walther Bothe","1954","physics","null","null"
"Axel Hugo Theodor Theorell","1955","medicine","null","null"
"Halldór Kiljan Laxness","1955","literature","null","null"
"Polykarp Kusch","1955","physics","null","null"
"Vincent du Vigneaud","1955","chemistry","null","null"
"Willis E. Lamb","1955","physics","null","null"
"André Frédéric Cournand","1956","medicine","null","null"
"Sir Cyril Norman Hinshelwood","1956","chemistry","null","null"
"Dickinson W. Richards","1956","medicine","null","null"
"John Bardeen","1956","physics","null","null"
"Juan Ramón Jiménez","1956","literature","null","null"
"Nikolay Nikolaevich Semenov","1956","chemistry","null","null"
"Walter H. Brattain","1956","physics","null","null"
"Werner Forssmann","1956","medicine","null","null"
"William B. Shockley","1956","physics","null","null"
"Albert Camus","1957","literature","null","null"
"Lord Alexander R. Todd","1957","chemistry","null","null"
"Yang Chen-Ning","1957","physics","null","null"
"Daniel Bovet","1957","medicine","null","null"
"Lester B. Pearson","1957","peace","(Bowles)","null"
"Lee Tsung-Dao","1957","physics","null","null"
"Boris Pasternak","1958","literature","null","null"
"Edward Lawrie Tatum","1958","medicine","null","null"
"Frederick Sanger","1958","chemistry","null","null"
"George Wells Beadle","1958","medicine","null","null"
"Georges Pire","1958","peace","null","null"
"Igor Y. Tamm","1958","physics","null","null"
"Il'ja M. Frank","1958","physics","null","null"
"Joshua Lederberg","1958","medicine","null","null"
"Pavel A. Cherenkov","1958","physics","null","null"
"Arthur Kornberg","1959","medicine","null","null"
"Emilio Segrè","1959","physics","null","null"
"Jaroslav Heyrovsky","1959","chemistry","null","null"
"Owen Chamberlain","1959","physics","null","null"
"Philip J. Noel-Baker","1959","peace","null","null"
"Salvatore Quasimodo","1959","literature","null","null"
"Severo Ochoa","1959","medicine","null","null"
"Albert John Lutuli","1960","peace","null","null"
"Donald A. Glaser","1960","physics","null","null"
"Sir Frank Macfarlane Burnet","1960","medicine","null","null"
"Peter Brian Medawar","1960","medicine","null","null"
"Saint-John Perse","1960","literature","null","null"
"Willard Frank Libby","1960","chemistry","null","null"
"Dag Hjalmar Agne Carl Hammarskjöld","1961","peace","null","null"
"Békésy György","1961","medicine","(Georg)","null"
"Ivo Andric","1961","literature","null","null"
"Melvin Calvin","1961","chemistry","null","null"
"Robert Hofstadter","1961","physics","null","null"
"Rudolf Mössbauer","1961","physics","null","null"
"Francis Crick","1962","medicine","null","null"
"James Dewey Watson","1962","medicine","null","null"
"John Cowdery Kendrew","1962","chemistry","null","null"
"John Steinbeck","1962","literature","(Ernst)","null"
"Lev Landau","1962","physics","null","null"
"Linus Pauling","1962","peace","null","null"
"Maurice Hugh Frederick Wilkins","1962","medicine","null","null"
"Max Ferdinand Perutz","1962","chemistry","null","null"
"Alan Lloyd Hodgkin","1963","medicine","null","null"
"Andrew Fielding Huxley","1963","medicine","null","null"
"Eugene Wigner","1963","physics","null","null"
"Giorgos Seferis","1963","literature","null","null"
"Giulio Natta","1963","chemistry","null","null"
"J. Hans D. Jensen","1963","physics","null","null"
"Sir John Carew Eccles","1963","medicine","null","null"
"Karl Ziegler","1963","chemistry","null","null"
"Maria Goeppert-Mayer","1963","physics","null","null"
"Aleksandr M. Prokhorov","1964","physics","null","null"
"Charles H. Townes","1964","physics","null","null"
"Dorothy Mary Hodgkin","1964","chemistry","null","null"
"Feodor Lynen","1964","medicine","null","null"
"Jean-Paul Sartre","1964","literature","(John)","null"
"Konrad Bloch","1964","medicine","null","null"
"Martin Luther King Jr.","1964","peace","null","null"
"Nicolay G. Basov","1964","physics","null","null"
"André Lwoff","1965","medicine","null","null"
"François Jacob","1965","medicine","null","null"
"Jacques Monod","1965","medicine","null","null"
"Julian Schwinger","1965","physics","null","null"
"Michail Sholokhov","1965","literature","null","null"
"Richard Feynman","1965","physics","null","null"
"Robert Burns Woodward","1965","chemistry","null","null"
"Tomonaga Sin-Ichiro","1965","physics","null","null"
"Alfred Kastler","1966","physics","null","null"
"Charles Brenton Huggins","1966","medicine","null","null"
"Nelly Sachs","1966","literature","null","null"
"Peyton Rous","1966","medicine","null","null"
"Robert S. Mulliken","1966","chemistry","null","null"
"Samuel Agnon","1966","literature","null","null"
"George Porter","1967","chemistry","null","null"
"George Wald","1967","medicine","null","null"
"Haldan Keffer Hartline","1967","medicine","null","null"
"Hans Bethe","1967","physics","null","null"
"Manfred Eigen","1967","chemistry","null","null"
"Miguel Angel Asturias","1967","literature","null","null"
"Ragnar Granit","1967","medicine","null","null"
"Ronald George Wreyford Norrish","1967","chemistry","null","null"
"Har Gobind Khorana","1968","medicine","null","null"
"Lars Onsager","1968","chemistry","null","null"
"Luis Alvarez","1968","physics","null","null"
"Marshall W. Nirenberg","1968","medicine","null","null"
"René Cassin","1968","peace","null","null"
"Robert W. Holley","1968","medicine","null","null"
"Kawabata Yasunari","1968","literature","null","null"
"Alfred D. Hershey","1969","medicine","null","null"
"Derek H. R. Barton","1969","chemistry","null","null"
"Jan Tinbergen","1969","economics","null","null"
"Max Delbrück","1969","medicine","null","null"
"Murray Gell-Mann","1969","physics","null","null"
"Odd Hassel","1969","chemistry","null","null"
"Ragnar Frisch","1969","economics","null","null"
"Salvador E. Luria","1969","medicine","null","null"
"Samuel Beckett","1969","literature","null","null"
"Alexander Solzhenitsyn","1970","literature","null","null"
"Sir Bernard Katz","1970","medicine","null","null"
"Hannes Alfvén","1970","physics","null","null"
"Julius Axelrod","1970","medicine","null","null"
"Louis Néel","1970","physics","null","null"
"Luis F. Leloir","1970","chemistry","null","null"
"Norman E. Borlaug","1970","peace","null","null"
"Paul A. Samuelson","1970","economics","null","null"
"Ulf von Euler","1970","medicine","null","null"
"Dennis Gabor","1971","physics","null","null"
"Earl W. Sutherland Jr.","1971","medicine","null","null"
"Gerhard Herzberg","1971","chemistry","null","null"
"Pablo Neruda","1971","literature","null","null"
"Simon Kuznets","1971","economics","null","null"
"Willy Brandt","1971","peace","null","null"
"Christian B. Anfinsen","1972","chemistry","null","null"
"Gerald M. Edelman","1972","medicine","null","null"
"Heinrich Böll","1972","literature","null","null"
"John Bardeen","1972","physics","null","null"
"John R. Hicks","1972","economics","null","null"
"Kenneth J. Arrow","1972","economics","null","null"
"Leon N. Cooper","1972","physics","null","null"
"Robert Schrieffer","1972","physics","null","null"
"Rodney R. Porter","1972","medicine","null","null"
"Stanford Moore","1972","chemistry","null","null"
"William H. Stein","1972","chemistry","null","null"
"Brian D. Josephson","1973","physics","null","null"
"Ernst Otto Fischer","1973","chemistry","null","null"
"Geoffrey Wilkinson","1973","chemistry","null","null"
"Henry A. Kissinger","1973","peace","null","null"
"Ivar Giaever","1973","physics","null","null"
"Karl von Frisch","1973","medicine","null","null"
"Konrad Lorenz","1973","medicine","null","null"
"Leo Esaki","1973","physics","null","null"
"Nikolaas Tinbergen","1973","medicine","null","null"
"Patrick White","1973","literature","null","null"
"Lê Đức Thọ","1973","peace","null","null"
"Wassily Leontief","1973","economics","null","null"
"Albert Claude","1974","medicine","null","null"
"Antony Hewish","1974","physics","null","null"
"Christian de Duve","1974","medicine","null","null"
"Eisaku Sato","1974","peace","null","null"
"Eyvind Johnson","1974","literature","null","null"
"Friedrich von Hayek","1974","economics","(August)","null"
"George E. Palade","1974","medicine","null","null"
"Gunnar Myrdal","1974","economics","null","null"
"Harry Martinson","1974","literature","null","null"
"Martin Ryle","1974","physics","null","null"
"Paul J. Flory","1974","chemistry","null","null"
"Seán MacBride","1974","peace","null","null"
"Aage N. Bohr","1975","physics","null","null"
"Andrei Dmitrievich Sakharov","1975","peace","null","null"
"Ben R. Mottelson","1975","physics","null","null"
"David Baltimore","1975","medicine","null","null"
"Eugenio Montale","1975","literature","null","null"
"Howard Martin Temin","1975","medicine","null","null"
"James Rainwater","1975","physics","null","null"
"John Warcup Cornforth","1975","chemistry","null","null"
"Leonid Vitaliyevich Kantorovich","1975","economics","null","null"
"Renato Dulbecco","1975","medicine","null","null"
"Tjalling C. Koopmans","1975","economics","null","null"
"Vladimir Prelog","1975","chemistry","null","null"
"Baruch S. Blumberg","1976","medicine","null","null"
"Betty Williams","1976","peace","null","null"
"Burton Richter","1976","physics","null","null"
"D. Carleton Gajdusek","1976","medicine","null","null"
"Mairead Corrigan","1976","peace","null","null"
"Milton Friedman","1976","economics","null","null"
"Samuel C. C. Ting","1976","physics","null","null"
"Saul Bellow","1976","literature","null","null"
"William N. Lipscomb","1976","chemistry","null","null"
"Andrew V. Schally","1977","medicine","null","null"
"Bertil Ohlin","1977","economics","null","null"
"Ilya Prigogine","1977","chemistry","null","null"
"James E. Meade","1977","economics","null","null"
"John H. Van Vleck","1977","physics","null","null"
"Sir Nevill F. Mott","1977","physics","null","null"
"Philip W. Anderson","1977","physics","null","null"
"Roger Guillemin","1977","medicine","null","null"
"Rosalyn Yalow","1977","medicine","null","null"
"Vicente Aleixandre","1977","literature","null","null"
"Arno Penzias","1978","physics","null","null"
"Daniel Nathans","1978","medicine","null","null"
"Hamilton O. Smith","1978","medicine","null","null"
"Herbert A. Simon","1978","economics","null","null"
"Isaac Bashevis Singer","1978","literature","null","null"
"Menachem Begin","1978","peace","null","null"
"Mohamed Anwar al-Sadat","1978","peace","null","null"
"Peter D. Mitchell","1978","chemistry","null","null"
"Pyotr Kapitsa","1978","physics","null","null"
"Robert Woodrow Wilson","1978","physics","null","null"
"Werner Arber","1978","medicine","null","null"
"Abdus Salam","1979","physics","null","null"
"Allan M. Cormack","1979","medicine","null","null"
"Sir Arthur Lewis","1979","economics","null","null"
"Georg Wittig","1979","chemistry","null","null"
"Godfrey N. Hounsfield","1979","medicine","null","null"
"Herbert C. Brown","1979","chemistry","null","null"
"Odysseus Elytis","1979","literature","null","null"
"Sheldon Glashow","1979","physics","null","null"
"Steven Weinberg","1979","physics","null","null"
"Teresa of Calcutta","1979","peace","null","null"
"Theodore W. Schultz","1979","economics","null","null"
"Adolfo Pérez Esquivel","1980","peace","null","null"
"Baruj Benacerraf","1980","medicine","null","null"
"Czesław Miłosz","1980","literature","null","null"
"Frederick Sanger","1980","chemistry","null","null"
"George D. Snell","1980","medicine","null","null"
"James Cronin","1980","physics","null","null"
"Jean Dausset","1980","medicine","null","null"
"Lawrence R. Klein","1980","economics","null","null"
"Paul Berg","1980","chemistry","null","null"
"Val Fitch","1980","physics","null","null"
"Walter Gilbert","1980","chemistry","null","null"
"Arthur L. Schawlow","1981","physics","null","null"
"David H. Hubel","1981","medicine","null","null"
"Elias Canetti","1981","literature","null","null"
"James Tobin","1981","economics","null","null"
"Kai M. Siegbahn","1981","physics","null","null"
"Kenichi Fukui","1981","chemistry","null","null"
"Nicolaas Bloembergen","1981","physics","null","null"
"Roald Hoffmann","1981","chemistry","null","null"
"Roger W. Sperry","1981","medicine","null","null"
"Torsten N. Wiesel","1981","medicine","null","null"
"Aaron Klug","1982","chemistry","null","null"
"Alfonso García Robles","1982","peace","null","null"
"Alva Myrdal","1982","peace","null","null"
"Bengt I. Samuelsson","1982","medicine","null","null"
"Gabriel García Márquez","1982","literature","null","null"
"George J. Stigler","1982","economics","null","null"
"John R. Vane","1982","medicine","null","null"
"Kenneth G. Wilson","1982","physics","null","null"
"Sune K. Bergström","1982","medicine","null","null"
"Barbara McClintock","1983","medicine","null","null"
"Gerard Debreu","1983","economics","null","null"
"Henry Taube","1983","chemistry","null","null"
"Lech Walesa","1983","peace","null","null"
"Subramanyan Chandrasekhar","1983","physics","null","null"
"William A. Fowler","1983","physics","null","null"
"William Golding","1983","literature","null","null"
"Carlo Rubbia","1984","physics","null","null"
"César Milstein","1984","medicine","null","null"
"Desmond Mpilo Tutu","1984","peace","null","null"
"Georges J. F. Köhler","1984","medicine","null","null"
"Jaroslav Seifert","1984","literature","null","null"
"Niels K. Jerne","1984","medicine","null","null"
"Richard Stone","1984","economics","null","null"
"Robert Bruce Merrifield","1984","chemistry","null","null"
"Simon van der Meer","1984","physics","null","null"
"Claude Simon","1985","literature","null","null"
"Franco Modigliani","1985","economics","null","null"
"Herbert A. Hauptman","1985","chemistry","null","null"
"Jerome Karle","1985","chemistry","null","null"
"Joseph L. Goldstein","1985","medicine","null","null"
"Klaus von Klitzing","1985","physics","null","null"
"Michael S. Brown","1985","medicine","null","null"
"Dudley R. Herschbach","1986","chemistry","null","null"
"Elie Wiesel","1986","peace","null","null"
"Ernst Ruska","1986","physics","null","null"
"Gerd Binnig","1986","physics","null","null"
"Heinrich Rohrer","1986","physics","null","null"
"James M. Buchanan Jr.","1986","economics","null","null"
"John C. Polanyi","1986","chemistry","null","null"
"Rita Levi-Montalcini","1986","medicine","null","null"
"Stanley Cohen","1986","medicine","null","null"
"Wole Soyinka","1986","literature","null","null"
"Yuan T. Lee","1986","chemistry","null","null"
"K. Alex Müller","1987","physics","null","null"
"Charles J. Pedersen","1987","chemistry","null","null"
"Donald J. Cram","1987","chemistry","null","null"
"J. Georg Bednorz","1987","physics","null","null"
"Jean-Marie Lehn","1987","chemistry","null","null"
"Joseph Brodsky","1987","literature","null","null"
"Oscar Arias Sanchez","1987","peace","null","null"
"Robert M. Solow","1987","economics","null","null"
"Susumu Tonegawa","1987","medicine","null","null"
"George H. Hitchings","1988","medicine","null","null"
"Gertrude B. Elion","1988","medicine","null","null"
"Hartmut Michel","1988","chemistry","null","null"
"Jack Steinberger","1988","physics","null","null"
"Sir James W. Black","1988","medicine","null","null"
"Johann Deisenhofer","1988","chemistry","null","null"
"Leon M. Lederman","1988","physics","null","null"
"Maurice Allais","1988","economics","null","null"
"Melvin Schwartz","1988","physics","null","null"
"Naguib Mahfouz","1988","literature","null","null"
"Robert Huber","1988","chemistry","null","null"
"Camilo José Cela","1989","literature","null","null"
"Hans G. Dehmelt","1989","physics","null","null"
"Harold E. Varmus","1989","medicine","null","null"
"J. Michael Bishop","1989","medicine","null","null"
"Norman F. Ramsey","1989","physics","null","null"
"Sidney Altman","1989","chemistry","null","null"
"Tenzin Gyatso","1989","peace","null","null"
"Thomas R. Cech","1989","chemistry","null","null"
"Trygve Haavelmo","1989","economics","null","null"
"Wolfgang Paul","1989","physics","null","null"
"E. Donnall Thomas","1990","medicine","null","null"
"Elias James Corey","1990","chemistry","null","null"
"Harry M. Markowitz","1990","economics","null","null"
"Henry W. Kendall","1990","physics","null","null"
"Jerome I. Friedman","1990","physics","null","null"
"Joseph E. Murray","1990","medicine","null","null"
"Merton H. Miller","1990","economics","null","null"
"Mikhail Sergeyevich Gorbachev","1990","peace","null","null"
"Octavio Paz","1990","literature","null","null"
"Richard E. Taylor","1990","physics","null","null"
"William F. Sharpe","1990","economics","null","null"
"Aung San Suu Kyi","1991","peace","null","null"
